"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX"
"30","0.9576644182205201","0.9529882669448853","0.9633658528327942","0.7382470667362213","0.7229307293891907","0.759814977645874","0.8727681875228882","0.8483371138572693","0.8925981521606445","0.13940984904766082","0.10802700370550156","0.18042010068893433","0.9001750469207763","0.883595883846283","0.9116029143333435","0.7153288364410401","0.6654163599014282","0.7454363703727722"
"31","0.9596649169921875","0.9583646059036255","0.9606151580810547","0.7190547585487366","0.6861715316772461","0.7514378428459167","0.8775193929672241","0.8637159466743469","0.8888472318649292","0.16734183728694915","0.06964240968227386","0.2249312400817871","0.8936484217643738","0.8717179298400879","0.916729211807251","0.7465366244316101","0.7333083152770996","0.7615653872489929"
"32","0.9588397145271301","0.953238308429718","0.9638659954071045","0.7659414708614349","0.746436595916748","0.7944486141204834","0.8924981117248535","0.8684670925140381","0.9029757380485535","0.1689422383904457","0.1227806955575943","0.24906226992607117","0.9097774386405945","0.8939734697341919","0.9261065125465393","0.7481370449066163","0.7080520391464233","0.7755689024925232"
"33","0.9607651948928833","0.9582395553588867","0.9647411704063416","0.7592523247003555","0.7516879439353943","0.7694423794746399","0.881320321559906","0.8685921430587769","0.9014753699302673","0.14343586191534996","0.04688672348856926","0.17816954851150513","0.9149287223815918","0.9026006460189819","0.9238559603691101","0.7587396740913391","0.7108026742935181","0.8083270788192749"
"34","0.9584146022796631","0.9548637270927429","0.9608651995658875","0.76444111764431","0.7470617890357971","0.7731932997703552","0.8793198466300964","0.8529632687568665","0.8929732441902161","0.16644161194562912","0.12078019231557846","0.22405602037906647","0.9010252594947815","0.8817204236984253","0.9117279052734375","0.7713178277015686","0.7515628933906555","0.8062015771865845"
"35","0.9560640215873718","0.9518629908561707","0.9618654847145081","0.7659727483987808","0.7403100728988647","0.7893223166465759","0.9044511079788208","0.8783445954322815","0.9229807257652283","0.18187046945095062","0.12453113496303558","0.2665666341781616","0.9192048072814941","0.8772193193435669","0.9428607225418091","0.7592147946357727","0.7309327125549316","0.798699676990509"
"36","0.9624906182289124","0.9567391872406006","0.9689922332763672","0.7760064899921417","0.773443341255188","0.7791947722434998","0.8964991331100464","0.8830958008766174","0.9106026291847229","0.13580895066261292","0.08402100205421448","0.19079770147800446","0.9248562216758728","0.9077269434928894","0.9416103959083557","0.7477619409561157","0.7145536541938782","0.7913228273391724"
"37","0.9609402298927308","0.955613911151886","0.9637409448623657","0.7692235559225082","0.7214303612709045","0.7936984300613403","0.904000997543335","0.889847457408905","0.9197299480438232","0.1623655915260315","0.11490372568368912","0.20355089008808136","0.9215553879737854","0.911227822303772","0.9326081275939941","0.7556639194488526","0.7214303612709045","0.8059514760971069"
"38","0.9577644348144532","0.9527381658554077","0.9666166305541992","0.7771943062543869","0.7434358596801758","0.8005751371383667","0.893298327922821","0.8612152934074402","0.9138534665107727","0.18854713141918183","0.10952737927436829","0.3417104184627533","0.915878975391388","0.8912228345870972","0.9381095170974731","0.7598149538040161","0.6776694059371948","0.8143286108970642"
"39","0.9642410635948181","0.963615894317627","0.9651162624359131","0.7742560654878616","0.7689422369003296","0.7840710282325745","0.9107276797294617","0.8975993990898132","0.9206051230430603","0.15968992412090302","0.13515879213809967","0.20317579805850983","0.9158289670944214","0.8869717717170715","0.9314828515052795","0.7690672636032104","0.7154288291931152","0.8064516186714172"
