"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"53","0.03764721676707268","0.034335870295763016","0.04212008789181709","0.04418526450172067","0.024637898430228233","0.06306306272745132","0.5101611688733101","0.35660019516944885","0.6507002711296082","0.5707052946090698","0.5441036820411682","0.5860159993171692","0.39164418578147886","0.3104308247566223","0.4745829999446869"
"54","0.03625291138887406","0.03209109604358673","0.041238438338041306","0.03598430659621954","0.029556650668382645","0.040355581790208817","0.6211550384759903","0.5350569486618042","0.692307710647583","0.560383141040802","0.5203176736831665","0.5819619297981262","0.4111737310886383","0.35160166025161743","0.43811967968940735"
"55","0.03494010753929615","0.031136007979512215","0.04232736676931381","0.035845942329615355","0.02862512692809105","0.045550402253866196","0.5996397882699966","0.5731415152549744","0.6609275341033936","0.5518578886985779","0.4967396855354309","0.5819904804229736","0.3975359439849854","0.363237589597702","0.42962759733200073"
"56","0.032626106217503545","0.03062601201236248","0.03524569049477577","0.04598771408200264","0.038185086101293564","0.056622013449668884","0.5450430810451508","0.401652455329895","0.6926147937774658","0.5522672235965729","0.47926267981529236","0.5828775763511658","0.4084327816963196","0.33416351675987244","0.4749317765235901"
"57","0.03503458648920059","0.031764861196279526","0.04030612111091614","0.03649888373911381","0.022297924384474754","0.05260869488120079","0.5494548082351685","0.292011022567749","0.6492146849632263","0.5660860300064087","0.5431650280952454","0.5887147784233093","0.407859206199646","0.37401196360588074","0.4560260474681854"
"58","0.035522328317165376","0.02944640815258026","0.04184260964393616","0.048324547708034515","0.02983998879790306","0.06928561627864838","0.5241831615567207","0.4129999876022339","0.627133846282959","0.5685195803642273","0.5404055714607239","0.5923624634742737","0.4332768142223358","0.3835291564464569","0.4712505042552948"
"59","0.035291283205151555","0.02963157184422016","0.04118700325489044","0.04038485046476126","0.02933293581008911","0.05448942258954048","0.5403589010238647","0.45280569791793823","0.5981975197792053","0.5689486861228943","0.534627377986908","0.5851871371269226","0.41809249520301817","0.38204002380371094","0.44487887620925903"
"60","0.03825507313013077","0.033186983317136765","0.04216327145695686","0.02989627979695797","0.025968309491872787","0.03975404053926468","0.5265882511933645","0.4996884763240814","0.5409836173057556","0.5659315824508667","0.5450484752655029","0.5845955610275269","0.436748206615448","0.35029053688049316","0.48009201884269714"
"61","0.03388261012732983","0.02996155433356762","0.03650670871138573","0.054565513506531715","0.03503546118736267","0.10218482464551926","0.6419571042060852","0.5614358186721802","0.7026134729385376","0.5550841987133026","0.4793206751346588","0.5860430598258972","0.40366490483283995","0.34986916184425354","0.44947880506515503"
"62","0.036642910540103914","0.03171110525727272","0.04282436892390251","0.036042360588908195","0.021968234330415726","0.060696788132190704","0.6151047746340433","0.5140776634216309","0.6800858974456787","0.5576485991477966","0.5178987383842468","0.5826119780540466","0.4114344775676727","0.3645293712615967","0.4781566858291626"
