"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"46","0.6395216822624207","0.6242045760154724","0.6536067128181458","0.6071297645568847","0.6014828681945801","0.614409327507019","0.8432373404502869","0.8359788656234741","0.8495320081710815","0.6419444561004639","0.6204560995101929","0.671457052230835","0.8066969394683838","0.7667638063430786","0.833078145980835","0.6310959815979004","0.6215106844902039","0.6399685144424438"
"47","0.6404423117637634","0.622378408908844","0.6665862798690796","0.6063143968582153","0.5911105871200562","0.6219868659973145","0.8456978082656861","0.8424981236457825","0.8528826832771301","0.6439596891403199","0.6296478509902954","0.6622340679168701","0.7985596895217896","0.7850662469863892","0.8157894611358643","0.625045382976532","0.5972574949264526","0.649617075920105"
"48","0.6392104983329773","0.6267458200454712","0.6488684415817261","0.5983376860618591","0.5870745778083801","0.6135717630386353","0.8383092403411865","0.8316301703453064","0.8439972996711731","0.6365594863891602","0.5947461724281311","0.6610231399536133","0.797823703289032","0.7760956287384033","0.8309859037399292","0.6375886082649231","0.6251634955406189","0.6476607918739319"
"49","0.6353989839553833","0.6224303245544434","0.6592468023300171","0.604406762123108","0.5767572522163391","0.6343516707420349","0.8374902009963989","0.8309893608093262","0.8451030254364014","0.6250194787979126","0.6218888163566589","0.6293683052062988","0.7866133928298951","0.7448559403419495","0.8275229334831238","0.625933301448822","0.6026650667190552","0.6421133875846863"
"50","0.6420418381690979","0.6287655830383301","0.6548187136650085","0.5993589758872986","0.5871089696884155","0.6108998656272888","0.8397768497467041","0.8308702707290649","0.8485267162322998","0.6362503290176391","0.6098317503929138","0.6647309064865112","0.788286292552948","0.7635440230369568","0.8097112774848938","0.6183278918266296","0.5989318490028381","0.6315423250198364"
"51","0.6417133688926697","0.6295965313911438","0.6535259485244751","0.5961894869804383","0.5870994925498962","0.6012195348739624","0.8408740520477295","0.8381344079971313","0.8425994515419006","0.6273980259895324","0.6203001141548157","0.6326963901519775","0.79023517370224","0.701020359992981","0.8416752219200134","0.6171685695648194","0.6028913855552673","0.6457607746124268"
"52","0.6359981656074524","0.6177538633346558","0.6595271825790405","0.5881595134735107","0.5732280015945435","0.5996658205986023","0.8357240915298462","0.8234596848487854","0.8447501063346863","0.6369181394577026","0.6220136284828186","0.6577520370483398","0.777524471282959","0.751937985420227","0.8076634407043457","0.6198291659355164","0.6059497594833374","0.6352683305740356"
"53","0.6357142210006714","0.6270818710327148","0.6512731313705444","0.5943570613861084","0.5867912173271179","0.6013365387916565","0.8347164630889893","0.826130211353302","0.8410100936889648","0.6356854796409607","0.6151713132858276","0.6515691876411438","0.780986487865448","0.754027247428894","0.811278223991394","0.6206233263015747","0.6007521152496338","0.6433287858963013"
"54","0.6379817605018616","0.628627359867096","0.6489178538322449","0.5920842409133911","0.5771924257278442","0.6025176048278809","0.8408263921737671","0.8302546143531799","0.847328245639801","0.6327039241790772","0.6084117889404297","0.6434827446937561","0.7539843320846558","0.6855496764183044","0.8010118007659912","0.6217494010925293","0.605067253112793","0.6433361768722534"
"55","0.637998640537262","0.6189653277397156","0.6603930592536926","0.5838686704635621","0.5724355578422546","0.5911718606948853","0.8353158712387085","0.8289926052093506","0.8423216342926025","0.6232977271080017","0.606951892375946","0.6385625600814819","0.7653212785720825","0.7166979312896729","0.8162729740142822","0.6220276236534119","0.6073790192604065","0.6305097341537476"
"56","0.6360700607299805","0.6231132745742798","0.6492520570755005","0.5892023921012879","0.5767596364021301","0.6124802231788635","0.8360746502876282","0.8258929252624512","0.8444234132766724","0.6240881443023681","0.6054906845092773","0.6326736211776733","0.7644062638282776","0.7400906085968018","0.7916999459266663","0.6275837898254395","0.6122843027114868","0.646397590637207"
"57","0.6365049481391907","0.6249565482139587","0.6474812030792236","0.5929813861846924","0.5841594934463501","0.5976788997650146","0.8333222389221191","0.825298547744751","0.8390147089958191","0.628425931930542","0.6047234535217285","0.6399402618408203","0.7743493914604187","0.7531871795654297","0.8141593337059021","0.6139997363090515","0.6004716157913208","0.6278167366981506"
