Step,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX
83,0.415105689,0.398166627,0.428154796,0.35095821,0.343427747,0.35990119,0.523772871,0.519480526,0.526517868,0.545151591,0.545151591,0.545151591,0.531305826,0.508529902,0.544979513
84,0.415564466,0.400523096,0.427064329,0.351490504,0.346103549,0.362368882,0.521612847,0.51817745,0.523664594,0.545151591,0.545151591,0.545151591,0.531323123,0.510093391,0.545995772
85,0.415824741,0.399188101,0.427879661,0.349895447,0.344895035,0.35705936,0.524475765,0.519080102,0.52693373,0.545151591,0.545151591,0.545151591,0.532271421,0.521362722,0.541402698
86,0.416569084,0.399530798,0.428593934,0.350083196,0.342232704,0.358453989,0.525350034,0.522008479,0.528640509,0.545151591,0.545151591,0.545151591,0.541527557,0.530840158,0.551442862
87,0.415709645,0.3984375,0.427803695,0.351692593,0.344651282,0.363509208,0.526171112,0.524389446,0.528753281,0.532338321,0.532338321,0.532338321,0.531885755,0.511989355,0.543893158
88,0.415326983,0.398784697,0.427499026,0.350163245,0.345929474,0.35680452,0.522874165,0.52093333,0.528082848,0.532338321,0.532338321,0.532338321,0.526022959,0.501209438,0.54360795
89,0.415996963,0.400829434,0.427739292,0.350875902,0.346876204,0.356921881,0.524811995,0.521667957,0.529353976,0.535698831,0.535698831,0.535698831,0.529769278,0.519992232,0.538776696
90,0.415302819,0.399964005,0.428864837,0.35094896,0.345813572,0.358737499,0.524682355,0.521378279,0.526722014,,,,0.533862579,0.514786959,0.54540503
91,0.416359174,0.400216728,0.42862767,0.353466743,0.349776924,0.357289791,0.523638487,0.521064162,0.525431573,,,,0.540404367,0.520032823,0.55659765
92,0.417094535,0.401115716,0.428706408,0.350844234,0.34646374,0.360676587,0.523562896,0.522074699,0.525809467,,,,0.538037086,0.519950151,0.550531149
93,0.417313075,0.401281357,0.429603457,0.352755839,0.347146928,0.358647108,0.526747775,0.520332098,0.53231293,,,,0.535175943,0.509441137,0.552523553
94,0.416219789,0.400719106,0.427537382,0.352352947,0.346983045,0.359062552,0.525715625,0.522625923,0.527704477,,,,0.539477992,0.527702272,0.556607962
95,0.417135692,0.402085006,0.429660469,0.351749456,0.34622255,0.360258698,0.523525608,0.52026242,0.528349698,,,,0.540860116,0.508428574,0.55376488
96,0.416972828,0.401920319,0.42832455,0.351069236,0.346525848,0.357946634,0.525064838,0.521296978,0.528796852,,,,0.53780092,0.522953391,0.553185463
97,0.416706467,0.401885957,0.42986992,0.352698731,0.348388761,0.361058354,0.526367152,0.522420466,0.53077811,,,,0.543069875,0.529160559,0.558081448
98,0.417087257,0.400895655,0.429777265,0.35075348,0.345618039,0.358522147,0.524666393,0.520464659,0.528490245,,,,0.545572412,0.535795093,0.556567192
99,0.417257518,0.399584413,0.43042323,0.352767986,0.348126352,0.357505083,0.526073563,0.522700965,0.529691994,,,,0.542948365,0.535202622,0.556562603
