"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"30","0.7975075483322144","0.7862240672111511","0.8051992058753967","0.9255282878875732","0.9176282286643982","0.9311849474906921","0.765954852104187","0.7566019892692566","0.7743171453475952","0.7766364932060241","0.7307484745979309","0.8151994943618774","0.8222530961036683","0.7978941798210144","0.8419772982597351","0.7762123584747315","0.7596963047981262","0.800236165523529"
"31","0.7952588200569153","0.7854413390159607","0.8065814971923828","0.9281828284263611","0.9194653034210205","0.9366720914840698","0.7722745060920715","0.7673685550689697","0.7825166583061218","0.7840525031089782","0.7337278127670288","0.8311223983764648","0.8131500840187073","0.7784401774406433","0.8383591771125793","0.7746488809585571","0.7592654824256897","0.7919506430625916"
"32","0.7911762237548828","0.7756064534187317","0.8071833252906799","0.9242756485939025","0.9174990653991699","0.9351851344108582","0.7662453889846802","0.73289555311203","0.7779850959777832","0.7970604658126831","0.7381114363670349","0.8328998684883118","0.8193525791168212","0.8016204237937927","0.8310737609863281","0.7712946057319641","0.7582883834838867","0.7844215035438538"
"33","0.7917436957359314","0.7704668045043945","0.8066723942756653","0.9259634852409363","0.9154078960418701","0.936915934085846","0.7597959876060486","0.7400062680244446","0.7666345238685608","0.7812088966369629","0.7542613744735718","0.7959070801734924","0.8038789987564087","0.7808114290237427","0.8278500437736511","0.7762765288352966","0.760526716709137","0.788032054901123"
"34","0.7963822603225708","0.7784276604652405","0.8109495639801025","0.9195885419845581","0.9150676131248474","0.9240040183067322","0.7590085387229919","0.7450756430625916","0.7695830464363098","0.7789552211761475","0.6983925700187683","0.8084985613822937","0.8071686029434204","0.7868276238441467","0.8341823816299438","0.7678780794143677","0.7530351281166077","0.7893630862236023"
"35","0.7946519970893859","0.7790879011154175","0.808371901512146","0.9254145622253418","0.9137026071548462","0.9316809773445129","0.7565301299095154","0.7460869550704956","0.7688299417495728","0.7770172953605652","0.7548559904098511","0.7955454587936401","0.8032255053520203","0.7948456406593323","0.8092056512832642","0.7643213510513306","0.7537063956260681","0.7770640254020691"
"36","0.7949777841567993","0.7801709175109863","0.8017241358757019","0.9233039975166321","0.9189189672470093","0.9353503584861755","0.7575318694114686","0.7507603168487549","0.7668522000312805","0.7941834688186645","0.7741585373878479","0.8279785513877869","0.7978968858718872","0.769248366355896","0.8234142065048218","0.7672144770622253","0.7565977573394775","0.7800220847129822"
"37","0.7896864533424377","0.7741990089416504","0.8030044436454773","0.9235373497009277","0.9137930870056152","0.9317091703414917","0.7499971270561219","0.7327390909194946","0.76068115234375","0.7646515727043152","0.6692420840263367","0.8084551095962524","0.7932695865631103","0.7814109325408936","0.8065944910049438","0.7641909837722778","0.752646803855896","0.7764687538146973"
"38","0.7918663144111633","0.7806267738342285","0.8020904064178467","0.9204798698425293","0.9125036001205444","0.9335063695907593","0.7487981438636779","0.732822060585022","0.7680131793022156","0.7671442270278931","0.7245709300041199","0.8121420741081238","0.7866086721420288","0.764102578163147","0.8079668283462524","0.7587590456008911","0.7494134306907654","0.7699348330497742"
"39","0.7843748331069946","0.7714771032333374","0.7976713180541992","0.916054081916809","0.9090399146080017","0.9278350472450256","0.7450716376304627","0.7361727952957153","0.7526085376739502","0.7783140897750854","0.7517173886299133","0.8224238157272339","0.7978450894355774","0.7898823618888855","0.8078646063804626","0.7635506153106689","0.7430403232574463","0.7918381094932556"
"40","0.7931613326072693","0.7833046317100525","0.800812304019928","0.9214656233787537","0.916795551776886","0.9283634424209595","0.747428023815155","0.7354733347892761","0.7644067406654358","0.7695319056510925","0.729581892490387","0.7902621626853943","0.7953084588050843","0.7894859313964844","0.8014757037162781","0.7587639212608337","0.7431378364562988","0.7742902040481567"
