"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX"
"31","0.7340000033378601","0.7141249775886536","0.7547500133514404","0.3825249969959259","0.35612499713897705","0.39887499809265137","0.741575014591217","0.6946250200271606","0.7678750157356262","0.22907499969005585","0.1901250034570694","0.2916249930858612","0.4861500024795532","0.46012499928474426","0.503250002861023","0.7496749997138977","0.7248749732971191","0.7702500224113464"
"32","0.7370499968528748","0.7273749709129333","0.7567499876022339","0.3659999966621399","0.33787500858306885","0.3931249976158142","0.7663500070571899","0.7283750176429749","0.8184999823570251","0.23977499902248384","0.18299999833106995","0.36800000071525574","0.4778999984264374","0.4544999897480011","0.5091249942779541","0.7529000043869019","0.7273749709129333","0.7735000252723694"
"33","0.7365499973297119","0.7266250252723694","0.7544999718666077","0.3872250020503998","0.3723750114440918","0.4137499928474426","0.7813500046730042","0.7475000023841858","0.8032500147819519","0.2265999972820282","0.17887499928474426","0.2639999985694885","0.49554999470710753","0.476624995470047","0.5213750004768372","0.7520499944686889","0.7164999842643738","0.7792500257492065"
"34","0.7317749977111816","0.7153750061988831","0.7451249957084656","0.3941249907016754","0.3733749985694885","0.42237499356269836","0.784375","0.7678750157356262","0.7925000190734863","0.2321750044822693","0.1535000056028366","0.2955000102519989","0.49802500009536743","0.48625001311302185","0.5113750100135803","0.7781000018119812","0.7731249928474426","0.7839999794960022"
"35","0.7338250041007995","0.7208750247955322","0.7534999847412109","0.3965000033378601","0.359250009059906","0.42875000834465027","0.7978500008583069","0.7906249761581421","0.8069999814033508","0.2121250033378601","0.13324999809265137","0.3316250145435333","0.5075749933719635","0.4898749887943268","0.5236250162124634","0.7834249854087829","0.765625","0.7978749871253967"
"36","0.7399500012397766","0.731249988079071","0.7452499866485596","0.4054499983787537","0.3747499883174896","0.4346249997615814","0.797475004196167","0.780875027179718","0.8084999918937683","0.21159999668598176","0.16762499511241913","0.25224998593330383","0.522124993801117","0.4957500100135803","0.547124981880188","0.7777249932289123","0.7615000009536743","0.7921249866485596"
"37","0.7448750019073487","0.7322499752044678","0.7605000138282776","0.37947500348091123","0.3386250138282776","0.41324999928474426","0.8174499988555908","0.7979999780654907","0.8273749947547913","0.2550499975681305","0.22200000286102295","0.3397499918937683","0.526325011253357","0.5070000290870667","0.5581250190734863","0.7734250068664551","0.7528749704360962","0.7851250171661377"
"38","0.7421750068664551","0.7294999957084656","0.749875009059906","0.4149999976158142","0.3853749930858612","0.43287500739097595","0.8075000047683716","0.7581250071525574","0.8295000195503235","0.22292500138282775","0.18649999797344208","0.29862499237060547","0.5310000002384185","0.4650000035762787","0.5613750219345093","0.7896000146865845","0.7562500238418579","0.8057500123977661"
"39","0.7440999984741211","0.7362499833106995","0.7597500085830688","0.4195999979972839","0.37587499618530273","0.445250004529953","0.8302250027656555","0.8158749938011169","0.8402500152587891","0.24892499744892121","0.1928749978542328","0.3307499885559082","0.5177500009536743","0.49924999475479126","0.53125","0.7758249878883362","0.7289999723434448","0.8100000023841858"
"40","0.7444499969482422","0.7262499928474426","0.7605000138282776","0.4162500023841858","0.3922500014305115","0.4321250021457672","0.8221500039100647","0.8065000176429749","0.8411250114440918","0.23090000152587892","0.16687500476837158","0.31987500190734863","0.5126999914646149","0.45274999737739563","0.5421249866485596","0.7958750009536744","0.7806249856948853","0.815750002861023"
