"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX"
"36","0.5040170907974243","0.4953739047050476","0.5109531283378601","0.4084367573261261","0.3808343708515167","0.4324186146259308","0.5649616122245789","0.562114953994751","0.5682195425033569","0.6473649144172668","0.6242454648017883","0.661583662033081","0.4753694474697113","0.4685669541358948","0.4879503846168518","0.5622608184814453","0.5571064949035645","0.5648615956306458"
"37","0.5034144520759583","0.48875483870506287","0.5143656730651855","0.40933324694633483","0.3969278633594513","0.4183543026447296","0.569928765296936","0.5658172965049744","0.5729126334190369","0.6541866302490235","0.6341874003410339","0.6741213798522949","0.4813794016838074","0.4733022153377533","0.49255597591400146","0.5602234959602356","0.5568065047264099","0.5637203454971313"
"38","0.5034744501113891","0.4938998520374298","0.5158227682113647","0.4184638440608978","0.4014754295349121","0.43889355659484863","0.5671754002571106","0.5603798031806946","0.570929765701294","0.6675693154335022","0.6532152891159058","0.6811284422874451","0.47873833775520325","0.45366427302360535","0.492127388715744","0.5659622311592102","0.5633029937744141","0.5711698532104492"
"39","0.5044250190258026","0.49449798464775085","0.5131426453590393","0.4192858040332794","0.38620126247406006","0.44227588176727295","0.5696096658706665","0.5669093728065491","0.5709626078605652","0.644184672832489","0.6240837574005127","0.6771966814994812","0.4697189390659332","0.4518417418003082","0.4811844527721405","0.5633545041084289","0.5529321432113647","0.5682355165481567"
"40","0.5041929662227631","0.49501320719718933","0.512291431427002","0.42072991132736204","0.3833683133125305","0.45823538303375244","0.5696010947227478","0.5631023049354553","0.5787456631660461","0.6612875938415528","0.6341672539710999","0.6867668032646179","0.4740266382694244","0.4630892276763916","0.48619577288627625","0.5657113194465637","0.5618823766708374","0.5698087811470032"
"41","0.5016613185405732","0.49265527725219727","0.5097765326499939","0.42910448312759397","0.4163430333137512","0.4396984875202179","0.5695734739303588","0.5680664777755737","0.5723944306373596","0.653594708442688","0.6377902030944824","0.6885350346565247","0.48694989681243894","0.4823143482208252","0.4907260835170746","0.5656089425086975","0.5626858472824097","0.5703109502792358"
"42","0.5039917767047882","0.49620509147644043","0.5144815444946289","0.42854112982749937","0.4124400317668915","0.4514295160770416","0.571859848499298","0.5681015849113464","0.5740892887115479","0.6385838389396667","0.6152207851409912","0.6586658954620361","0.48879464268684386","0.4774988293647766","0.5018854737281799","0.568789291381836","0.5638166666030884","0.5762056112289429"
"43","0.5046005487442017","0.496620774269104","0.5110044479370117","0.41978464722633363","0.37884724140167236","0.44332948327064514","0.5718044161796569","0.566911518573761","0.5741177797317505","0.6629026889801025","0.6375604867935181","0.6807897686958313","0.49039397239685056","0.4717327356338501","0.4989013671875","0.568145751953125","0.5638813972473145","0.5722229480743408"
"44","0.5031321287155152","0.49863171577453613","0.510049045085907","0.4231563746929169","0.3865297734737396","0.45835229754447937","0.5749497652053833","0.5712313055992126","0.578722357749939","0.64305499792099","0.6302836537361145","0.654392421245575","0.4878014028072357","0.47252747416496277","0.5013012290000916","0.567711067199707","0.5622869729995728","0.5748905539512634"
"45","0.50319504737854","0.4947110116481781","0.5133567452430725","0.42671648859977723","0.4120545983314514","0.4541149437427521","0.5723014354705811","0.570781409740448","0.5737694501876831","0.6481835722923279","0.6364681720733643","0.6627427935600281","0.49113793969154357","0.4840463101863861","0.5019257068634033","0.5688913106918335","0.5627447366714478","0.5742605924606323"
"46","0.5045596539974213","0.49799230694770813","0.5120052099227905","0.41334462761878965","0.3963181674480438","0.4466700851917267","0.5760725140571594","0.5735379457473755","0.5782574415206909","0.6525207042694092","0.6382730603218079","0.6646056175231934","0.48471285700798034","0.47321006655693054","0.5000556707382202","0.5703881859779358","0.565701425075531","0.5727260708808899"
"47","0.5056291878223419","0.4967677891254425","0.5143654346466064","0.4234140932559967","0.39318665862083435","0.4385938048362732","0.5754016280174256","0.5728821754455566","0.576830267906189","0.6473274827003479","0.6169485449790955","0.670710563659668","0.49061675667762755","0.48567870259284973","0.494890034198761","0.570105767250061","0.568027675151825","0.5750929713249207"
"48","0.5010798513889313","0.48833349347114563","0.506354570388794","0.40761064291000365","0.39114853739738464","0.4221029579639435","0.5781169891357422","0.575718104839325","0.5807948708534241","0.6391244411468506","0.6224613785743713","0.6708947420120239","0.49754996299743653","0.4787158966064453","0.5121802091598511","0.5712452054023742","0.5678613781929016","0.5739259719848633"
"49","0.5049217700958252","0.49548646807670593","0.5158826112747192","0.4195019602775574","0.3956185579299927","0.4394945800304413","0.577475619316101","0.5759201049804688","0.5804296135902405","0.6479307770729065","0.6350599527359009","0.6674332618713379","0.4914605438709259","0.4796035885810852","0.5055742263793945","0.5708950400352478","0.5685866475105286","0.5740343928337097"
"50","0.5047528088092804","0.4934789836406708","0.5148874521255493","0.42391194105148317","0.40066778659820557","0.4559311866760254","0.5765196561813355","0.5715088844299316","0.5811309814453125","0.6544584274291992","0.6228904128074646","0.6823725700378418","0.49529871344566345","0.4831288456916809","0.5012531280517578","0.5728116631507874","0.5670743584632874","0.5760191082954407"
"51","0.5068987727165222","0.5039072036743164","0.5098055005073547","0.41250075697898864","0.38725796341896057","0.44004619121551514","0.5786903738975525","0.5765647292137146","0.5814752578735352","0.649507486820221","0.6364225745201111","0.6753926873207092","0.5002814710140229","0.4925493001937866","0.5123401880264282","0.5726560592651367","0.5658899545669556","0.5774058699607849"
"52","0.503211909532547","0.4990149438381195","0.5054245591163635","0.39856708645820615","0.3796578049659729","0.41995519399642944","0.5811582326889038","0.5779687166213989","0.5838401913642883","0.645749282836914","0.6065263748168945","0.6912022233009338","0.4932456612586975","0.47609490156173706","0.5120343565940857","0.5751277327537536","0.5710455775260925","0.5799487829208374"
"53","0.5024726212024688","0.49732574820518494","0.5054715275764465","0.4122917354106903","0.37948036193847656","0.4360228180885315","0.5815312027931213","0.5793569684028625","0.5843321681022644","0.6451813578605652","0.6252421140670776","0.676788330078125","0.49718414545059203","0.49295774102211","0.5039583444595337","0.5759354710578919","0.5725971460342407","0.5805596709251404"
"54","0.5080630540847778","0.5026048421859741","0.5204738974571228","0.39926663041114807","0.36540988087654114","0.4309427738189697","0.5810956239700318","0.5782456398010254","0.582709789276123","0.6359751582145691","0.6018938422203064","0.6800834536552429","0.49683371782302854","0.4759657084941864","0.5127037167549133","0.5761181116104126","0.5720095634460449","0.5791709423065186"
"55","0.5077511668205261","0.49979257583618164","0.516209065914154","0.4130928158760071","0.386460542678833","0.43239307403564453","0.582021427154541","0.578849732875824","0.5854094624519348","0.6526206016540528","0.6415145397186279","0.6711687445640564","0.5011975169181824","0.4842105209827423","0.5126600861549377","0.5761193752288818","0.5718059539794922","0.5807841420173645"
"56","0.5082796812057495","0.4971638321876526","0.5142719149589539","0.4033509433269501","0.3671991229057312","0.43247488141059875","0.5820955157279968","0.575939416885376","0.5855087041854858","0.6540281057357789","0.6282980442047119","0.6818096041679382","0.5035932064056396","0.48683419823646545","0.5225045084953308","0.5780225038528443","0.5736082196235657","0.5811617374420166"
"57","0.5062427580356598","0.4984839856624603","0.5105946063995361","0.4199454188346863","0.3996862471103668","0.4383295476436615","0.5845016360282898","0.5829917192459106","0.5860153436660767","0.6388453125953675","0.6212399005889893","0.6544057726860046","0.5070514559745789","0.49636179208755493","0.5143684148788452","0.577907145023346","0.5744156837463379","0.5835500359535217"
"58","0.5049906969070435","0.5019435882568359","0.5094846487045288","0.40514699220657346","0.3865254819393158","0.43476805090904236","0.5824216127395629","0.5792359709739685","0.5847229361534119","0.640410327911377","0.6113659143447876","0.6637858748435974","0.5013168931007386","0.4893162250518799","0.5213735103607178","0.5792686462402343","0.5755781531333923","0.5825496912002563"
"59","0.5061767339706421","0.5002867579460144","0.5117080807685852","0.4059315800666809","0.3551330864429474","0.4503857493400574","0.5840414047241211","0.5813697576522827","0.5867985486984253","0.6566291570663452","0.6345615983009338","0.6660612225532532","0.4987029194831848","0.49469494819641113","0.504593014717102","0.5801122307777404","0.5776180028915405","0.5827686786651611"
"60","0.5047309756278991","0.49958962202072144","0.5092736482620239","0.40278032422065735","0.38796165585517883","0.43550577759742737","0.5836235046386719","0.5805972814559937","0.5861092209815979","0.6535037755966187","0.6300819516181946","0.68049156665802","0.4986491441726685","0.47203177213668823","0.5105659365653992","0.5786448001861573","0.5773995518684387","0.5805783867835999"
"61","0.5094863176345825","0.5000408291816711","0.5164048075675964","0.4143892765045166","0.39076220989227295","0.47123971581459045","0.5849938988685608","0.5817709565162659","0.5879650712013245","0.6289034485816956","0.609870970249176","0.6478376984596252","0.5072695016860962","0.4895702600479126","0.5165886282920837","0.5809062600135804","0.5787171125411987","0.585576593875885"
"62","0.5082761526107789","0.5019141435623169","0.5122564435005188","0.41712507605552673","0.3907811939716339","0.4377950429916382","0.5871053576469422","0.5860300660133362","0.5886977314949036","0.62545325756073","0.5923047661781311","0.6539220213890076","0.5006166875362397","0.4832135736942291","0.5148850083351135","0.5811330676078796","0.5777897834777832","0.5842916369438171"
"63","0.5070014834403992","0.5042597651481628","0.5094736814498901","0.40434896349906924","0.36960744857788086","0.46194982528686523","0.5858859419822693","0.5832095742225647","0.5883572101593018","0.6294217705726624","0.6135275959968567","0.6435643434524536","0.5074785709381103","0.4946820139884949","0.5220648646354675","0.5802918434143066","0.577393114566803","0.5842723250389099"
"64","0.5072588086128235","0.5007809400558472","0.512208878993988","0.4017418324947357","0.35546281933784485","0.44261664152145386","0.5871398329734803","0.5863519906997681","0.5878427028656006","0.6465952515602111","0.6361494660377502","0.6649302840232849","0.5094067871570587","0.4979715049266815","0.5254871845245361","0.5810433626174927","0.578094482421875","0.584542453289032"
"65","0.5095146179199219","0.49811041355133057","0.5156262516975403","0.4029555797576904","0.37432408332824707","0.4565567076206207","0.5868957042694092","0.5828334093093872","0.5915263295173645","0.6441642642021179","0.6270282864570618","0.6671179533004761","0.5097910165786743","0.5038270354270935","0.5175777673721313","0.5816690683364868","0.5794011354446411","0.5840631723403931"
"66","0.511737871170044","0.5044577717781067","0.5156187415122986","0.40340750217437743","0.3915497362613678","0.4235537052154541","0.5879514575004577","0.5853114724159241","0.5916544198989868","0.645058274269104","0.6316563487052917","0.6620591878890991","0.5114471554756165","0.5037578344345093","0.5224896669387817","0.5808717131614685","0.5774435997009277","0.5832613706588745"
"67","0.5118216514587403","0.5064852833747864","0.5208203196525574","0.406719845533371","0.38552770018577576","0.4592960774898529","0.5883682250976563","0.5863402485847473","0.589521050453186","0.6516261696815491","0.6299628615379333","0.663362443447113","0.5156426429748535","0.5067209601402283","0.5243752002716064","0.5817696809768677","0.5784366726875305","0.5873223543167114"
"68","0.5172002196311951","0.5095541477203369","0.5229400992393494","0.4031540215015411","0.38644689321517944","0.43205294013023376","0.5881287097930908","0.5856538414955139","0.5897519588470459","0.6507850527763367","0.6099945902824402","0.685704231262207","0.5113372504711151","0.49414291977882385","0.5217030644416809","0.5828895449638367","0.5807433128356934","0.5845543742179871"
"69","0.5103450655937195","0.5052546262741089","0.5166707038879395","0.4061312019824982","0.377421498298645","0.46868711709976196","0.5885507345199585","0.5872336030006409","0.590354859828949","0.6308865427970887","0.614715039730072","0.6461055278778076","0.5098500609397888","0.500481128692627","0.5187916159629822","0.5846733212471008","0.5824796557426453","0.5873588919639587"
