"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MAX"
"34","0.9302575588226318","0.9227306842803955","0.9353588223457336","0.9436109066009521","0.9316079020500183","0.9546136260032654","0.04756189063191414","0.019254812970757484","0.10077519714832306","0.9583896040916443","0.9521130323410034","0.9684921503067017","0.7305826425552369","0.7090522646903992","0.7520630359649658","0.7907393574714661","0.773318350315094","0.8074518442153931"
"35","0.9345586419105529","0.92873215675354","0.9462365508079529","0.9524631142616272","0.9384846091270447","0.9644911289215088","0.05483870841562748","0.02000500075519085","0.09327331930398941","0.9567391872406006","0.9429857730865479","0.966741681098938","0.7286821603775024","0.6927981972694397","0.746436595916748","0.8183712561925253","0.8002000451087952","0.8328332304954529"
"36","0.9332082986831665","0.9226056337356567","0.9399849772453308","0.9528632164001465","0.9451112747192383","0.9609902501106262","0.06584146171808243","0.021255314350128174","0.09227307140827179","0.9601150155067444","0.9577394127845764","0.9649912714958191","0.7279319763183594","0.6829207539558411","0.7708176970481873","0.762315571308136","0.7448111772537231","0.7909477353096008"
"37","0.9373093366622924","0.9332333207130432","0.9391098022460938","0.9568892240524292","0.9506126642227173","0.96436607837677","0.06356589123606682","0.03350837528705597","0.09252312779426575","0.96316579580307","0.9448612332344055","0.9696174263954163","0.7264315962791443","0.7054263353347778","0.7524381279945374","0.8255397280057272","0.8169542551040649","0.8419604897499084"
"38","0.9345836400985718","0.9241060018539429","0.9407351613044739","0.9575643897056579","0.9482370615005493","0.9628657102584839","0.03628407046198845","0.01637909561395645","0.07364340871572495","0.9618154525756836","0.942110538482666","0.9719929695129395","0.7268316984176636","0.6731683015823364","0.7653163075447083","0.7945319612820944","0.787571907043457","0.8024505972862244"
"39","0.9350337505340576","0.9316079020500183","0.9379844665527344","0.9587896943092347","0.9552388191223145","0.96436607837677","0.052538135647773744","0.0327581912279129","0.08714678883552551","0.9578144550323486","0.9427356719970703","0.9713678359985352","0.7272067904472351","0.7031757831573486","0.7556889057159424","0.8299574851989746","0.8134533762931824","0.8515878915786743"
"40","0.9384596228599549","0.9336084127426147","0.9431107640266418","0.9598399639129639","0.9562390446662903","0.9638659954071045","0.08087021633982658","0.030257564038038254","0.13453362882137299","0.9631908059120178","0.9554888606071472","0.972243070602417","0.7185046315193176","0.6709177494049072","0.7343086004257202","0.8025756279627482","0.7808201909065247","0.8182045221328735"
"41","0.9368342161178589","0.9288572072982788","0.9429857730865479","0.9590897798538208","0.9441110491752625","0.9688672423362732","0.04763690903782845","0.019629906862974167","0.0688922256231308","0.9586146473884583","0.9484871029853821","0.9677419066429138","0.7354338526725769","0.6984245777130127","0.7529382109642029","0.8282070557276408","0.8140785098075867","0.8385846614837646"
"42","0.937359344959259","0.9307326674461365","0.9458614587783813","0.9576644182205201","0.9486121535301208","0.9637409448623657","0.06201550364494324","0.02250562608242035","0.09289822727441788","0.9648412108421326","0.9607402086257935","0.9721180200576782","0.7414853692054748","0.7026756405830383","0.7750687599182129","0.8268733819325765","0.8063265681266785","0.8402100801467896"
"43","0.9398599743843079","0.9293573498725891","0.9458614587783813","0.9608151912689209","0.9551137685775757","0.9652413129806519","0.06414103507995605","0.041260313242673874","0.1000250056385994","0.9652663230895996","0.9557389616966248","0.9744936227798462","0.7288572072982789","0.6992998123168945","0.7553138136863708","0.8018254637718201","0.7895724177360535","0.8138284683227539"
"44","0.9400099992752076","0.9356089234352112","0.946986734867096","0.9635909080505372","0.9544886350631714","0.9727432131767273","0.04433608464896679","0.02650662697851658","0.07739435136318207","0.967916977405548","0.9599900245666504","0.9759939908981323","0.7359589815139771","0.7096773982048035","0.776444137096405","0.824122687180837","0.8164541125297546","0.8302075266838074"
"45","0.9368592262268066","0.9252313375473022","0.9441110491752625","0.9666666626930237","0.9573643207550049","0.9748687148094177","0.061640409380197526","0.020380094647407532","0.11452863365411758","0.9691672921180725","0.961990475654602","0.977744460105896","0.7399850010871887","0.723430871963501","0.7615653872489929","0.7971159418423971","0.7865716218948364","0.8038259744644165"
"46","0.9374343633651734","0.930232584476471","0.9428607225418091","0.9629407405853272","0.9552388191223145","0.9694923758506775","0.07216804176568985","0.03800950199365616","0.10752688348293304","0.9709177255630493","0.963615894317627","0.9756188988685608","0.7309577345848084","0.7129282355308533","0.7476869225502014","0.8463365832964579","0.831957995891571","0.8553388118743896"
"47","0.9367341876029969","0.9317329525947571","0.942110538482666","0.9643410801887512","0.9568642377853394","0.9689922332763672","0.046711677312850954","0.008377093821763992","0.07764440774917603","0.9712428212165832","0.9592397809028625","0.9816204309463501","0.7338084578514099","0.7060515284538269","0.7665666341781616","0.8108276923497518","0.7728182077407837","0.8337084054946899"
"48","0.9373843431472778","0.9331082701683044","0.9418604373931885","0.9700425148010254","0.9572393298149109","0.9759939908981323","0.05233808532357216","0.026131533086299896","0.09352338314056396","0.9696424007415771","0.9597399234771729","0.9764941334724426","0.7587897062301636","0.7493123412132263","0.7791947722434998","0.8470450838406881","0.8322080373764038","0.8655914068222046"
"49","0.9405851483345031","0.9352338314056396","0.9471117854118347","0.9710677742958069","0.9594898819923401","0.9766191840171814","0.056714178249239924","0.016879219561815262","0.10940235108137131","0.9682670593261719","0.9522380828857422","0.975493848323822","0.7374093532562256","0.7264316082000732","0.7645661234855652","0.8202050526936849","0.803450882434845","0.8530882596969604"
"50","0.9395848870277405","0.933483362197876","0.944611132144928","0.9686171531677246","0.9559890031814575","0.9796199202537537","0.048812202736735345","0.014128532260656357","0.10240060091018677","0.9710427641868591","0.9589897394180298","0.9818704724311829","0.7445111274719238","0.7050512433052063","0.7616904377937317","0.8332499861717224","0.817829430103302","0.8459615111351013"
"51","0.9403850913047791","0.9371092915534973","0.9437359571456909","0.9676169037818909","0.9436109066009521","0.9758689403533936","0.08692172989249229","0.03538384661078453","0.1405351310968399","0.9713428378105163","0.9648662209510803","0.983370840549469","0.7334833741188049","0.7103025913238525","0.7534383535385132","0.8141618569691976","0.7893223166465759","0.8410852551460266"
