"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"51","0.017814348638057708","0.014030985534191132","0.02370847389101982","0.2463854134082794","0.17407406866550446","0.33966243267059326","0.5826421976089478","0.570330798625946","0.5955946445465088","0.2681745618581772","0.22724226117134094","0.35112419724464417","0.01477870624512434","0.01241079717874527","0.018152866512537003"
"52","0.01789153106510639","0.013819464482367039","0.022373264655470848","0.27386281788349154","0.12878787517547607","0.42424243688583374","0.586158037185669","0.5774319767951965","0.5935305953025818","0.26800101399421694","0.22541868686676025","0.3677341639995575","0.016378354902068775","0.012051869183778763","0.021621622145175934"
"53","0.017374437861144544","0.013584574684500694","0.022687353193759918","0.2644569739699364","0.10000000149011612","0.40425533056259155","0.5811965346336365","0.5636906623840332","0.5955061912536621","0.27562093138694765","0.23631161451339722","0.3611365854740143","0.015177954298754534","0.01366950199007988","0.01714743673801422"
"54","0.01807081252336502","0.014039192348718643","0.025276001542806625","0.26483980715274813","0.16477273404598236","0.35574838519096375","0.5868063330650329","0.5737043023109436","0.5967568159103394","0.26978498697280884","0.2473902702331543","0.3262970745563507","0.014667273499071598","0.010104150511324406","0.01850166730582714"
"55","0.01819856408983469","0.013990090228617191","0.023816481232643127","0.22912882268428802","0.1592920422554016","0.32692307233810425","0.5878676652908326","0.5802809000015259","0.5960816740989685","0.2834533452987671","0.2566458284854889","0.33945146203041077","0.017025567591190338","0.013923266902565956","0.021234938874840736"
"56","0.017654784210026263","0.014117304235696793","0.023927632719278336","0.2960920810699463","0.22522522509098053","0.3928571343421936","0.5881506443023682","0.5752789378166199","0.5954842567443848","0.28435930609703064","0.2573240399360657","0.34241577982902527","0.015351232451697191","0.011503067798912525","0.018251070752739906"
"57","0.018351908773183823","0.014903984032571316","0.023184601217508316","0.28604936003685","0.1587301641702652","0.39737990498542786","0.5842918276786804","0.5719726085662842","0.59412682056427","0.29582913517951964","0.2553562521934509","0.37223586440086365","0.015274402995904287","0.01115893479436636","0.020284589380025864"
"58","0.018318828381597995","0.01474166288971901","0.02586812898516655","0.24974433332681656","0.0746268630027771","0.5032051205635071","0.5838656187057495","0.5782383680343628","0.5928313732147217","0.28835987448692324","0.24027401208877563","0.3619459271430969","0.018109412242968876","0.014088774099946022","0.021307647228240967"
"59","0.017807590961456298","0.013981940224766731","0.022770676761865616","0.18855372667312623","0.1314387172460556","0.3085106313228607","0.587750768661499","0.5841456651687622","0.5941745638847351","0.27891118824481964","0.22614465653896332","0.3726239502429962","0.01518095750361681","0.01263895258307457","0.01940864324569702"
"60","0.01843925882130861","0.014811619184911251","0.02302728034555912","0.1911887377500534","0.07407407462596893","0.38461539149284363","0.5871248602867126","0.5829471945762634","0.5957730412483215","0.29684832096099856","0.266152948141098","0.3659999966621399","0.01599862923224767","0.012176325544714928","0.017932644113898277"
"61","0.018330846540629865","0.014758561737835407","0.02385133132338524","0.353316468000412","0.20744681358337402","0.48728814721107483","0.5892849087715148","0.5817528963088989","0.5942883491516113","0.29684692025184634","0.26337650418281555","0.3239564299583435","0.014690647833049297","0.011489040218293667","0.017495395615696907"
"62","0.018441924639046193","0.01498181838542223","0.023941606283187866","0.2614176943898201","0.1031128391623497","0.3942857086658478","0.5877520561218261","0.5816217660903931","0.5963166356086731","0.2989572584629059","0.24961793422698975","0.34235161542892456","0.013354951205352942","0.009783809073269367","0.01697530783712864"
"63","0.018004214949905874","0.01375475525856018","0.02393811196088791","0.2035671815276146","0.12264151126146317","0.3087121248245239","0.588315737247467","0.5849846601486206","0.5960565805435181","0.2857636511325836","0.2340814173221588","0.3514934778213501","0.014561993069946766","0.011530398391187191","0.02011106163263321"
"64","0.0182976171374321","0.014266996644437313","0.02395559474825859","0.3663130313158035","0.1473429948091507","0.4912280738353729","0.5868334174156189","0.5783964395523071","0.5952920317649841","0.2990164339542389","0.26825377345085144","0.34213608503341675","0.01729296458264192","0.01425178162753582","0.019716665148735046"
"65","0.017899696715176105","0.01393166184425354","0.023670367896556854","0.2249697893857956","0.13664595782756805","0.3392857015132904","0.5810667753219605","0.5632280111312866","0.5948905348777771","0.30386091470718385","0.2586364150047302","0.3461741507053375","0.014169945071140925","0.009260687977075577","0.01750345528125763"
"66","0.017974558845162393","0.013998250477015972","0.02381996251642704","0.28737631589174273","0.12068965286016464","0.5897436141967773","0.5863646388053894","0.5772405862808228","0.5958520174026489","0.29740274548530576","0.24912455677986145","0.3634229898452759","0.016233007423579693","0.012671594507992268","0.018504587933421135"
"67","0.017964741215109825","0.013882800005376339","0.024000000208616257","0.3016522705554962","0.13846154510974884","0.42748090624809265","0.5899019479751587","0.5818220376968384","0.5960822105407715","0.3042491853237152","0.2718828022480011","0.34154704213142395","0.014744271524250507","0.010427848435938358","0.017294153571128845"
"68","0.017968017607927322","0.014396775513887405","0.024006983265280724","0.26614455580711366","0.13309352099895477","0.37368419766426086","0.5850089311599731","0.5752506256103516","0.5932378768920898","0.3160601079463959","0.2865740656852722","0.3919565677642822","0.015462268454333147","0.010699216276407242","0.022686833515763283"
"69","0.017780405469238758","0.014385352842509747","0.02418062649667263","0.2633477285504341","0.1034482792019844","0.4117647111415863","0.584044075012207","0.5724876523017883","0.5978438854217529","0.319579553604126","0.28188806772232056","0.3839625418186188","0.014702117380996546","0.012262598611414433","0.01928582228720188"
"70","0.017935718409717083","0.014587892219424248","0.023252412676811218","0.2846061185002327","0.06862745434045792","0.5232558250427246","0.5857601284980773","0.5743736624717712","0.5963858366012573","0.3047703981399536","0.27763742208480835","0.34201779961586","0.016766189287106197","0.012919101864099503","0.019333232194185257"
"71","0.017837789095938205","0.01428155042231083","0.023806046694517136","0.20867313742637633","0","0.33581626415252686","0.586353850364685","0.5701145529747009","0.5969539284706116","0.30064003467559813","0.2568705081939697","0.36093637347221375","0.014423183475931486","0.011861314065754414","0.017639903351664543"
"72","0.01760602630674839","0.014831717126071453","0.022199200466275215","0.2682753369212151","0.06666667014360428","0.38922154903411865","0.5851686120033264","0.5753588080406189","0.5966236591339111","0.32734408378601076","0.27936026453971863","0.38284438848495483","0.016523580066859722","0.01395565178245306","0.01895087957382202"
