"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX"
"41","0.9768314242362977","0.9757047295570374","0.978058934211731","0.9628826141357422","0.9573091864585876","0.9652858972549438","0.8050552725791931","0.7452229261398315","0.9046729207038879","0.9537169694900512","0.9431848526000977","0.9612249732017517","0.9767446756362915","0.9679852724075317","0.9847354292869568","0.9932305415471395","0.9888176918029785","0.9959422945976257"
"42","0.9747648715972901","0.9697050452232361","0.976867139339447","0.9629060387611389","0.9577244520187378","0.9675859212875366","0.8465991497039795","0.7667185068130493","0.9225806593894958","0.9521321773529052","0.9407073855400085","0.960697591304779","0.9754182696342468","0.9633982181549072","0.9824238419532776","0.9939115246136984","0.9934524297714233","0.9947279095649719"
"43","0.9770157098770141","0.9749899506568909","0.9794160723686218","0.9596857547760009","0.954663872718811","0.9643931984901428","0.6850723028182983","0.43939393758773804","0.8712499737739563","0.9529090166091919","0.942945659160614","0.9608706831932068","0.974488353729248","0.9667338728904724","0.9819416999816895","0.9947438637415568","0.9939825534820557","0.9952373504638672"
"44","0.9748583436012268","0.9706000685691833","0.9768308401107788","0.9601658582687378","0.9559168219566345","0.9622740149497986","0.7484790503978729","0.4701986610889435","0.8962264060974121","0.95138521194458","0.9401621222496033","0.9623599648475647","0.9756798267364502","0.9709165096282959","0.9820573925971985","0.994036595026652","0.9933735132217407","0.9947932362556458"
"45","0.9764159202575684","0.9715164303779602","0.981351375579834","0.9603477716445923","0.9555786848068237","0.9639545679092407","0.7492445349693299","0.5708154439926147","0.856986939907074","0.9511918783187866","0.9388881325721741","0.9618082642555237","0.9779030919075012","0.9727593660354614","0.9837343096733093","0.9950377146402994","0.9944003820419312","0.9957081079483032"
"46","0.9752179622650147","0.9738761186599731","0.9774426221847534","0.9605212330818176","0.957198977470398","0.9627948999404907","0.831775963306427","0.7012499570846558","0.8815789818763733","0.950692868232727","0.9411386251449585","0.9615933299064636","0.9755672454833985","0.9713408350944519","0.9821040034294128","0.9926339189211527","0.9913755655288696","0.9950405955314636"
"47","0.9750997662544251","0.9702150225639343","0.978857159614563","0.9612623810768127","0.9583495259284973","0.9636744260787964","0.7801972031593323","0.7117552161216736","0.8560975790023804","0.9495542764663696","0.9378530979156494","0.9631126523017883","0.9756721735000611","0.9667458534240723","0.984227180480957","0.9948846896489462","0.9942476749420166","0.9959552884101868"
"48","0.975697922706604","0.9741390943527222","0.978069007396698","0.9593490719795227","0.9568123817443848","0.9603347778320312","0.7997484683990479","0.6483957171440125","0.9230769872665405","0.9501027941703797","0.9391527771949768","0.961307942867279","0.9672724843025208","0.9560334086418152","0.9772008657455444","0.993269165356954","0.9923443794250488","0.9937731623649597"
"49","0.9757301688194275","0.9735442996025085","0.9799973368644714","0.957109797000885","0.9524368643760681","0.9607943296432495","0.7670481324195861","0.6628571152687073","0.8376891613006592","0.949097192287445","0.9360689520835876","0.9580644965171814","0.9724148511886597","0.963536262512207","0.9786574840545654","0.9946298400561014","0.9938443303108215","0.9961095452308655"
"50","0.9744001388549804","0.9731928706169128","0.9758906960487366","0.9574697613716125","0.9530473947525024","0.9603858590126038","0.7236328601837159","0.4716981053352356","0.9267399311065674","0.9506062030792236","0.9401565194129944","0.9598714113235474","0.9732767939567566","0.9691398739814758","0.9780102968215942","0.9938737551371256","0.9915754795074463","0.9961779713630676"
